from_dep,counts
Аманкулов М.А.,53
Сурабалдиева Э.Ж.,48
Тулендыбаев П.Р.,37
Никитенко Н.В.,34
Орозова К.Б.,34
Баймуратов К.Ш.,33
Строкова Е.Г.,31
Мамашова А.Т.,29
Иманалиев К.К.,27
Акматов А.Ж.,26
Алимбеков Н.К.,25
Молдобекова Г.С.,25
Акаев Ж.К.,22
Самигуллина А.Э.,22
Жапаров А.У.,22
Жунус уулу Адыл,21
Зулпукаров Т.З.,21
Бекешев Д.Д.,21
Исаков М.А.,21
Маннанов И.А.,20
Сулейманов Б.И.,20
Эгембердиев М.Б.,20
Бакиров М.И.,20
Токторов А.С.,20
Касымалиева А.К.,19
Торобаев Б.Э.,19
Шер-Нияз С.,19
Осмонова А.Ш.,19
Баатырбеков А.Б.,19
Исаева Д.Ш.,19
Алтыбаева А.Т.,18
Арапбаев А.А.,18
Мадеминов М.Г.,17
Эргешов А.М.,17
Туманбаева Р.М.,16
Иминов Ф.А.,16
Нишанов Н.Н.,16
Жутанов А.Т.,15
Казакбаев Р.А.,15
Пирматов И.А.,15
Жамангулов А.Ж.,14
Карашев А.А.,13
Токтошев Э.Т.,13
Жунус уулу Алтынбек,12
Турсунбаев А.А.,12
Масалиев И.А.,12
Калмаматов Ж.А.,12
Мамытов Т.Т.,12
Юсуров А.Л.,12
Мавлянова М.Э.,11
Кыдыралиев У.Т.,11
Шайназаров Т.У.,11
Жеенбеков А.Ш.,11
Самаев У.О.,11
Бокоев К.С.,11
Айнакулов М.А.,10
Мусабекова Ж.А.,10
Аттокуров Д.Б.,10
Матраимов И.И.,10
Джураев С.М.,10
Масабиров Т.А.,10
Нурбаев А.М.,10
Турускулов Ж.К.,10
Жетигенов Б.Ж.,10
Ибраимжанов Б.С.,9
Икрамов Т.И.,9
Бакчиев Ж.А.,9
Сыдыков Б.У.,9
Алтынбеков А.,9
Омуркулов И.Ш.,9
Сабиров М.Э.,9
Сулайманов А.Т.,8
Маматов А.М.,8
Чудинов И.В.,8
Байбакпаев Э.Дж.,8
Жумалиев К.М.,8
Гайпкулов И.Т.,8
Султанов А.М.,8
Жамалдинов З.И.,8
Шыкмаматов А.Н.,8
Нурматов К.С.,7
Исмаилова А.Ж.,7
Узакбаев А.О.,7
Турсунбеков Ч.А.,7
Назаров А.К.,7
Толонов Д.Э.,7
Исаев К.К.,6
Дюшалиев А.К.,6
Артыков А.А.,6
Примов У.Б.,6
Бабанов О.Т.,6
Салянова А.Ж.,6
Момбеков Р.Ч.,6
Джумабеков Д.А.,6
Кулбараков А.И.,6
Чолпонбаев У.С.,5
Каримов Н.Т.,5
Мусаев Н.И.,5
Жылкыбаев У.К.,5
Торокулов Д.Г.,5
Артыкбаев О.М.,5
Сарсейитов И.З.,5
Асылбаева Г.К.,5
Нышанов С.К.,4
Субанбеков Б.Ж.,4
Айдаров С.А.,4
Жолдошбаев К.,4
Макеев Н.К.,4
Кодуранова А.С.,4
Рыспаев К.Дж.,3
Чойбеков Р.Н.,3
Асылбек уулу Д.,3
Зулушев К.Т.,3
Ормонов У.З.,3
Жоробеков Т.У.,3
не указано,3
Шарапов З.Э.,3
Тиллаев Т.Г.,3
Келдибаев С.А.,3
Конушбаев Т.К.,3
Абжалиев А.Т.,3
Сатыбалдиев К.У.,2
Самат Гульнара Клара,2
Джакупова Ч.И.,2
Мискенбаев М.Дж.,2
Алыбаев О.А.,2
Омурбекова А.С.,2
Карамушкина И.Ю.,1
Кадыркулов И.А.,1
Керезбеков К.К.,1
Жеенчороев М.К.,1
Тотонов Н.Т.,1
Исаев Т.К.,1
Райымкулов Б.К.,1
Шадиев А.А.,1
Маматалиев М.А.,1
Тагаев Э.С.,1
